skill,category,years_experience,experience_sources
Unit Testing,Testing,6+,AxysWeb; Saga; Acuity; MDFCommerce
Integration Testing,Testing,5+,Acuity; MDFCommerce
E2E Testing,Testing,4+,Acuity; MDFCommerce
Load Testing,Testing,3+,AxysWeb; Saga; Acuity
Contract Testing,Testing,2+,Multiple projects
Storybook,Frontend Tooling,4+,Acuity; MDFCommerce
Bit.dev,Frontend Architecture,2+,Acuity
NX,Monorepo Tooling,2+,MDFCommerce
Webpack,Build Tool,5+,FDD; BG7; Saga; Fullsoft; LogicTake; Acuity; OxDreams
Babel,Build Tool,4+,FDD; BG7; Saga; Fullsoft; LogicTake; Acuity; OxDreams
PNPM,Package Manager,2+,Acuity
NPM,Package Manager,10+,All projects/companies
ESLint,Code Quality,5+,Acuity; MDfCommerce
Stylelint,Code Quality,3+,FDD; BG7; Saga; Fullsoft; LogicTake; Acuity; OxDreams
Prettier,Code Quality,5+,FDD; BG7; Saga; Fullsoft; LogicTake; Acuity; OxDreams
Husky,Git Hooks,3+,FDD; BG7; Saga; Fullsoft; LogicTake; Acuity; OxDreams
Commitlint,Code Quality,2+,MDFCommerce
SonarQube,Code Quality,2+,MDFCommerce
BlackDuck,Security,2+,Acuity
Aqua Security,Security,2+,Acuity
Snyk,Security,2+,Acuity
Datadog,Monitoring,1+,Acuity
Git,Version Control,10+,All projects/companies
Git Flow,Version Control,6+,FDD; BG7; Saga; FullSoft; OxDreams; LogicTake; Acuity
Scrum,Methodology,8+,All projects/companies
Agile,Methodology,8+,All projects/companies
Tailwind CSS,Styling,4+,Acuity; MDFCommerce
Bootstrap,Styling,5+,AxysWeb; FDD; Saga; FullSoft; Freelancer Projects (Hyper System; Masset; Atagon)
Material UI,Styling,3+,BG7; Saga; Fullsoft; Acuity; MDFCommerce; OxDreams
HTML5,Frontend,12+,All projects/companies
CSS3,Frontend,12+,All projects/companies
Microservices,Architecture,4+,Acuity; MDFCommerce
Event-driven Architecture,Architecture,1+,FDD
TDD,Architecture/Practice,3+,AxysWeb; Acuity
DDD,Architecture/Practice,2+,AxysWeb; Acuity
SOLID,Architecture/Practice,5+,AxysWeb; FDD; Saga; FullSoft; Acuity; MDFCommerce
Design Patterns,Architecture/Practice,5+,General usage
LangChain,AI,1+,POC at MDFCommerce; Personal/learning
n8n,Automation,1+,POC at MDFCommerce; Personal/learning
GitHub Copilot,AI Tooling,4+,FullSoft; Acuity; MDFCommerce
Cursor IDE,AI Tooling,1+,MDFCommerce
Codex,AI Tooling,1+,MDFCommerce
WindSurf,AI Tooling,1+,MDFCommerce
Prisma,Backend ORM,3+,Freelancer Projects (Hyper System; Masset; Atagon)
TypeORM,Backend ORM,3+,BG7; Saga; FullSoft; Freelancer Projects (Hyper System; Masset; Atagon)
Sequelize,Backend ORM,3+,BG7; Saga; FullSoft; Freelancer Projects (Hyper System; Masset; Atagon)
Redux,Frontend Management State System,3+,Saga; FullSoft; Freelancer Projects (Masset; Atagon); Acuity
Redux Saga,Frontend Management State System,3+,Saga; FullSoft; Freelancer Projects (Masset; Atagon); Acuity
Redux Thunk,Frontend Management State System,3+,Saga; FullSoft; Freelancer Projects (Masset; Atagon); Acuity
Entity Framework,Backend ORM,5+,AxysWeb; FDD; BG7; Saga; FullSoft; Acuity
Gulp,Javascript Task Runner,2+,FDD
Grunt,Javascript Task Runner,2+,FDD
SVN,Version Control,2+,AxysWeb
Java,Language,2+,MDFCommerce
Java Springboot,Backend Framework,2+,MDFCommerce
